,ITEMID,UOM,BRANDID,CLASSIFY_STATE,SUBSTATE,STARTDATE,ENDDATE,RRP,DEAL,BUNDLE_QTY,BUNDLE_PRICE,EXCEL_PATH,EMAIL_PATH,CLAIM_NUMBER,QUERY,VEN_ID,VEN_NAME,CLAIM_NUMBER_NEW
0,3755850,1,LL,NATIONAL,NATIONAL,2022-03-09,2022-04-05,52.0,4.0,,,xxx,xxx,1,QUERY,976772,HALEWOOD WINES AND SPIRITS (AUST) P,1
1,4746377,1,1C,NATIONAL,NATIONAL,2022-09-21,2022-10-18,50.0,3.0,,,xxx,xxx,2,,976772,HALEWOOD WINES AND SPIRITS (AUST) P,2
2,2586575,4,VC,STATE,ACT,2022-06-29,2022-08-02,13.0,1.97,,,deal book,deal book,3,MISSING QTY,971808,HARCOURT VALLEY VINEYARDS,1
3,2586575,4,VC,STATE,NSW,2022-06-29,2022-08-02,13.0,1.97,,,deal book,deal book,3,,971808,HARCOURT VALLEY VINEYARDS,1
4,2586575,4,VC,STATE,NT,2022-06-29,2022-08-02,13.0,1.97,,,deal book,deal book,3,,971808,HARCOURT VALLEY VINEYARDS,1
5,2586575,4,VC,STATE,QLD,2022-06-29,2022-08-02,13.0,1.97,,,deal book,deal book,3,,971808,HARCOURT VALLEY VINEYARDS,1
6,2586575,4,VC,STATE,SA,2022-06-29,2022-08-02,13.0,1.97,,,deal book,deal book,3,,971808,HARCOURT VALLEY VINEYARDS,1
7,2586575,4,VC,STATE,WA,2022-06-29,2022-08-02,13.0,1.97,,,deal book,deal book,3,,971808,HARCOURT VALLEY VINEYARDS,1
8,2586575,4,VC,STATE,VIC,2022-06-29,2022-08-02,13.0,1.56,,,deal book,deal book,3,,971808,HARCOURT VALLEY VINEYARDS,1
9,2586575,4,VC,STATE,ACT,2022-08-03,2022-09-06,15.0,0.83,,,deal book,deal book,4,A,971808,HARCOURT VALLEY VINEYARDS,2
10,2586575,4,VC,STATE,NSW,2022-08-03,2022-09-06,15.0,0.83,,,deal book,deal book,4,,971808,HARCOURT VALLEY VINEYARDS,2
11,2586575,4,VC,STATE,NT,2022-08-03,2022-09-06,15.0,0.83,,,deal book,deal book,4,,971808,HARCOURT VALLEY VINEYARDS,2
12,2586575,4,VC,STATE,QLD,2022-08-03,2022-09-06,15.0,0.83,,,deal book,deal book,4,,971808,HARCOURT VALLEY VINEYARDS,2
13,2586575,4,VC,STATE,SA,2022-08-03,2022-09-06,15.0,0.83,,,deal book,deal book,4,,971808,HARCOURT VALLEY VINEYARDS,2
14,2586575,4,VC,STATE,WA,2022-08-03,2022-09-06,15.0,0.83,,,deal book,deal book,4,,971808,HARCOURT VALLEY VINEYARDS,2
15,2586575,4,VC,STATE,VIC,2022-08-03,2022-09-06,15.0,0.41,,,deal book,deal book,4,,971808,HARCOURT VALLEY VINEYARDS,2
16,3870541,4,VC,NATIONAL,NATIONAL,2022-06-29,2022-08-02,13.0,1.32,,,xxx,xxx,3,,971808,HARCOURT VALLEY VINEYARDS,1
17,3870541,4,VC,NATIONAL,NATIONAL,2022-08-03,2022-09-06,15.0,0.83,,,xxx,xxx,4,,971808,HARCOURT VALLEY VINEYARDS,2
